Occupation/Context,Total Employed (US),Gesture-Relevance Analysis,Context Tags,Gestural Cueing for Alerts or Transitions,Need for Discreet or Silent Communication,Multimodal Command Needs,Wears Gloves or Hands Often Dirty,Safety-Critical Tasks,Touch-Free Requirement,"Environmental Sensitivity (Moisture, Heat, Cold)",Hands Frequently Full,Performance Contexts,Sterile or Hygiene-Sensitive Settings,Task Switching Without Losing Flow,Field Work with Limited Tech Access,One-Handed or Asymmetric Work,High-Volume Repetitive Logging,Dim or Low-Light Workspaces,Constant Motion / Mobile Work,Visual Focus Must Stay Forward,Time-Sensitive or High-Paced Environments,Noisy Environments (Voice Input Unreliable),Irregular or Constrained Environments,Team-Based Spatial Work,Public-Facing with Frequent Interruptions,Objects or Screens are Out of Reach,Data/Interface Control While Focused Elsewhere
Psychiatric Nurse,194124,"Psychiatric nurses require calm, non-disruptive tools while maintaining safety and rapport. Gesture input allows silent coordination, discreet logging, or environmental control without escalating patient stress or breaking flow.","['Safety-Critical Tasks', 'Need for Discreet or Silent Communication', 'High-Volume Repetitive Logging', 'Touch-Free Requirement']",0,194124,0,0,194124,194124,0,0,0,0,0,0,0,194124,0,0,0,0,0,0,0,0,0,0
RN,194124,"Registered nurses in any setting need flexibility, hygiene, and multitasking. Gesture input offers hands-free access to patient records, supply alerts, or colleague messaging without interfering with direct care.","['Sterile or Hygiene-Sensitive Settings', 'Gestural Cueing for Alerts or Transitions', 'Touch-Free Requirement']",194124,0,0,0,0,194124,0,0,0,194124,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Triage Registered Nurse,194124,"Triage nurses make fast assessments in noisy, busy environments. With full hands and high stakes, gesture input can speed up data entry, case tracking, or silent alerts — critical when attention can’t be split.","['Need for Discreet or Silent Communication', 'Gestural Cueing for Alerts or Transitions', 'Touch-Free Requirement', 'Noisy Environments (Voice Input Unreliable)']",194124,194124,0,0,0,194124,0,0,0,0,0,0,0,0,0,0,0,0,194124,0,0,0,0,0
Registered Nurses,194124,"This broad category benefits from gesture input for hygiene-safe interaction, faster documentation, and real-time support in clinics, hospitals, and homes — improving care while reducing tech friction.","['Sterile or Hygiene-Sensitive Settings', 'Touch-Free Requirement']",0,0,0,0,0,194124,0,0,0,194124,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Complaint Clerk,268600,"Complaint clerks often deal with sensitive issues, balancing typing with empathy. Gesture input lets them flag urgent cases, mute alerts, or log escalations while staying focused and calm in face-to-face resolution.","['Touch-Free Requirement', 'Time-Sensitive or High-Paced Environments', 'High-Volume Repetitive Logging', 'One-Handed or Asymmetric Work']",0,0,0,0,0,268600,0,0,0,0,0,0,268600,268600,0,0,0,268600,0,0,0,0,0,0
Contact Center Specialist,268600,"These specialists multitask across calls, scripts, and systems. Gesture input offers silent controls for call queues, escalation flags, or knowledge base toggles — keeping hands on the keyboard and mind on the caller.","['Need for Discreet or Silent Communication', 'Touch-Free Requirement']",0,268600,0,0,0,268600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Customer Complaint Clerk,268600,"Similar to complaint clerks, these roles benefit from hands-free controls for documentation, supervisor pings, or conversation flagging — especially useful in sensitive customer interactions.","['Public-Facing with Frequent Interruptions', 'Touch-Free Requirement']",0,0,0,0,0,268600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,268600,0,0
Customer Contact Specialist,268600,"Working across channels, these specialists manage live chats, emails, and calls. Gesture input streamlines quick toggling between platforms, tagging inquiries, or activating macros without breaking flow.","['Performance Contexts', 'High-Volume Repetitive Logging', 'Time-Sensitive or High-Paced Environments', 'Touch-Free Requirement']",0,0,0,0,0,268600,0,0,268600,0,0,0,0,268600,0,0,0,268600,0,0,0,0,0,0
Customer Relations Representative,268600,"These reps handle complex issues that require empathy, speed, and multitasking. Gesture input allows them to log notes, trigger escalations, or shift focus between screens silently — keeping conversations human-centered and systems under control.","['Need for Discreet or Silent Communication', 'High-Volume Repetitive Logging', 'Constant Motion / Mobile Work', 'Touch-Free Requirement']",0,268600,0,0,0,268600,0,0,0,0,0,0,0,268600,0,268600,0,0,0,0,0,0,0,0
Customer Support Representative,268600,"Support reps field nonstop calls or chats while navigating tools and documentation. Gesture input offers rapid toggling between CRM fields, mute buttons, or scripting windows — allowing them to respond faster without breaking rhythm.","['Field Work with Limited Tech Access', 'Touch-Free Requirement']",0,0,0,0,0,268600,0,0,0,0,0,268600,0,0,0,0,0,0,0,0,0,0,0,0
Gas Distribution and Emergency Clerk,268600,"These clerks manage critical utility systems, including emergency response. Gesture input can enable hands-free alert triage, log entries, or control dashboards in high-stakes or remote monitoring environments where fast, clean inputs are vital.","['Field Work with Limited Tech Access', 'Gestural Cueing for Alerts or Transitions', 'High-Volume Repetitive Logging', 'Touch-Free Requirement']",268600,0,0,0,0,268600,0,0,0,0,0,268600,0,268600,0,0,0,0,0,0,0,0,0,0
Passenger Relations Representative,268600,"Working in transport hubs, these reps help with rebooking, complaints, and lost items — often while mobile or using kiosks. Gesture input offers discreet access to alerts, queue updates, or terminal navigation tools without leaving a traveler’s side.","['Gestural Cueing for Alerts or Transitions', 'Need for Discreet or Silent Communication', 'Constant Motion / Mobile Work', 'Touch-Free Requirement']",268600,268600,0,0,0,268600,0,0,0,0,0,0,0,0,0,268600,0,0,0,0,0,0,0,0
Policyholder Information Clerk,268600,"These workers handle sensitive insurance data while switching between screens and files. Gesture input allows quick, hygienic document tagging, record searches, or supervisor requests without breaking flow or losing accuracy.","['Time-Sensitive or High-Paced Environments', 'Touch-Free Requirement']",0,0,0,0,0,268600,0,0,0,0,0,0,0,0,0,0,0,268600,0,0,0,0,0,0
Warranty Clerk,268600,"Warranty clerks manage high-volume records and customer claims, often multitasking across forms, phone calls, and internal systems. Gesture input allows fast lookup, flagging, or case navigation without interrupting the process.","['Public-Facing with Frequent Interruptions', 'High-Volume Repetitive Logging', 'Touch-Free Requirement']",0,0,0,0,0,268600,0,0,0,0,0,0,0,268600,0,0,0,0,0,0,0,268600,0,0
Customer Service Representatives,268600,"A catch-all category covering high-volume, multitasking roles — gesture input supports screen switching, CRM controls, or silent escalation alerts while keeping the focus on service and response time.","['Gestural Cueing for Alerts or Transitions', 'Need for Discreet or Silent Communication', 'Touch-Free Requirement']",268600,268600,0,0,0,268600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Banquet Cook,106123,"Banquet cooks work against the clock preparing high-volume meals, often with gloved hands and in tight kitchen spaces. Gesture input can cycle timers, check recipes, or signal the team — all without breaking sanitation or momentum.","['Gestural Cueing for Alerts or Transitions', 'Wears Gloves or Hands Often Dirty', 'Touch-Free Requirement']",106123,0,0,106123,0,106123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Breakfast Cook,106123,"Morning cooks balance multiple stations and high-speed prep with sticky or hot hands. Gesture controls let them manage toast timers, reorder flags, or communicate with the front without reaching for buttons or screens.","['High-Volume Repetitive Logging', 'Wears Gloves or Hands Often Dirty', 'Touch-Free Requirement']",0,0,0,106123,0,106123,0,0,0,0,0,0,0,106123,0,0,0,0,0,0,0,0,0,0
Cafeteria Cook,106123,"In institutional kitchens, cafeteria cooks work assembly-style, often under noise and hygiene constraints. Gesture input supports tray count tracking, portion adjustments, or shift notifications — improving flow and minimizing downtime.","['Sterile or Hygiene-Sensitive Settings', 'Constant Motion / Mobile Work', 'Touch-Free Requirement']",0,0,0,0,0,106123,0,0,0,106123,0,0,0,0,0,106123,0,0,0,0,0,0,0,0
Camp Cook,106123,"Camp cooks deal with limited tech access, outdoor conditions, and rustic kitchens. Gesture input could allow them to switch between meal plans, set timers, or signal team members even with wet or gloved hands — ideal for flexible, field-based environments.","['Wears Gloves or Hands Often Dirty', 'Touch-Free Requirement', 'Field Work with Limited Tech Access', 'Gestural Cueing for Alerts or Transitions']",106123,0,0,106123,0,106123,0,0,0,0,0,106123,0,0,0,0,0,0,0,0,0,0,0,0
Certified Personal Chef,106123,"Personal chefs operate in client homes where discretion, cleanliness, and flow matter. Gesture input offers silent access to recipes, ambient music, or timing controls — all while maintaining elegance and sanitation in high-touch spaces.","['Need for Discreet or Silent Communication', 'Wears Gloves or Hands Often Dirty', 'Touch-Free Requirement']",0,106123,0,106123,0,106123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chef De Partie,106123,"Station chefs manage specific areas under intense pressure. With both hands constantly working, gesture input could help them control heat levels, review plating standards, or coordinate with the sous-chef — keeping them locked into flow.","['Environmental Sensitivity (Moisture, Heat, Cold)', 'Hands Frequently Full', 'Touch-Free Requirement']",0,0,0,0,0,106123,106123,106123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Falafel Cart Cook,106123,"Street food cooks like falafel vendors work fast with limited tools, wet surfaces, and cash handling. Gesture input allows them to track orders, manage timers, or trigger alerts without ever touching their phone — perfect for small, high-traffic setups.","['Gestural Cueing for Alerts or Transitions', 'Environmental Sensitivity (Moisture, Heat, Cold)', 'Wears Gloves or Hands Often Dirty', 'Touch-Free Requirement']",106123,0,0,106123,0,106123,106123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fast Food Cook,106123,"Fast food cooks work on the line in repetitive, fast-paced settings. Gloves, grease, and constant motion make screen access a pain. Gesture input enables order updates, batch confirmations, or team communication hands-free.","['Time-Sensitive or High-Paced Environments', 'High-Volume Repetitive Logging', 'Wears Gloves or Hands Often Dirty', 'Touch-Free Requirement']",0,0,0,106123,0,106123,0,0,0,0,0,0,0,106123,0,0,0,106123,0,0,0,0,0,0
Fast Food Fry Cook,106123,"Fry cooks manage oil-heavy stations with safety risks. Gesture input allows control of fry timers, low-supply alerts, or tray tracking without going near a greasy touchscreen — improving hygiene and safety in the hot zone.","['Sterile or Hygiene-Sensitive Settings', 'Safety-Critical Tasks', 'Gestural Cueing for Alerts or Transitions', 'Touch-Free Requirement']",106123,0,0,0,106123,106123,0,0,0,106123,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fraternity House Cook,106123,"These cooks often manage solo prep for dozens, with limited tools and multitasking needs. Gesture input could help them toggle between menus, check grocery inventories, or trigger speaker controls without disrupting the flow of cooking.",['Touch-Free Requirement'],0,0,0,0,0,106123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fryline Attendant,106123,"Managing multiple fryers under pressure, fryline attendants benefit from gesture controls to manage cooking cycles, order pacing, or communicate tray status — all while keeping hands off potentially hazardous equipment controls.","['Safety-Critical Tasks', 'Time-Sensitive or High-Paced Environments', 'Touch-Free Requirement']",0,0,0,0,106123,106123,0,0,0,0,0,0,0,0,0,0,0,106123,0,0,0,0,0,0
Galley Cook,106123,"On ships or planes, galley cooks work in cramped, moving environments where screens are fragile or out of reach. Gesture input enables clean, stable control of timers, checklists, or team signals in a motion-sensitive space.","['Gestural Cueing for Alerts or Transitions', 'High-Volume Repetitive Logging', 'Objects or Screens are Out of Reach', 'Touch-Free Requirement']",106123,0,0,0,0,106123,0,0,0,0,0,0,0,106123,0,0,0,0,0,0,0,0,106123,0
Griddle Attendant,106123,"Griddle attendants manage fast, flat-top cooking in environments where timing and precision matter. Gesture controls offer a way to start/stop timers, flag reorder needs, or call for help without touching surfaces mid-service.",['Touch-Free Requirement'],0,0,0,0,0,106123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Griddle Cook,106123,"Griddle cooks manage multiple items on a hot surface, flipping, monitoring, and plating under tight timing. Their hands are always full or greasy. Gesture input enables quick access to timers, order tickets, or alerts without pausing to touch a screen — supporting rhythm and hygiene.","['Sterile or Hygiene-Sensitive Settings', 'Touch-Free Requirement', 'Time-Sensitive or High-Paced Environments', 'High-Volume Repetitive Logging']",0,0,0,0,0,106123,0,0,0,106123,0,0,0,106123,0,0,0,106123,0,0,0,0,0,0
Grill Cook,106123,"Grill cooks work with open flames, hot surfaces, and raw meat — often with gloves or utensils in hand. Gesture input allows them to manage order queues, mark doneness, or ping servers without contaminating surfaces or losing pace.","['Wears Gloves or Hands Often Dirty', 'Touch-Free Requirement']",0,0,0,106123,0,106123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Institutional Cook,106123,"In schools, hospitals, or correctional facilities, these cooks prepare bulk meals under rigid safety protocols. Gesture controls help them log portions, toggle recipes, or alert staff without touching shared terminals — streamlining compliance and flow.","['Safety-Critical Tasks', 'High-Volume Repetitive Logging', 'Gestural Cueing for Alerts or Transitions', 'Touch-Free Requirement']",106123,0,0,0,106123,106123,0,0,0,0,0,0,0,106123,0,0,0,0,0,0,0,0,0,0
